Name,Address,Location,Type
"Sri Venkateswara Institute of Medical Sciences, Tirupati","Sri Venkateswara Institute of Medical Sciences, Tirupati, Andhra Pradesh Alipiri Rd, Sri Padmavati Mahila Visvavidyalayam, Tirupati, Andhra Pradesh 517507",Tirupati,Government Laboratory
"Rangaraya Medical College, Kakinada","Rangaraya Medical College, Kakinada Pithampuram Road, Kakinada, Andhra Pradesh 533001",Kakinada,Government Laboratory
"Sidhartha Medical College, Vijaywada","Siddhartha Medical College, Vijayawada NH 16 Service Rd, beside Dr NTR University of Health Sciences, Gunadala, Vijayawada, Andhra Pradesh 520008",Vijayawada,Government Laboratory
"Government Medical College, Anantapur","Government Medical College, Anantapur, Rahamat Nagar, Anantapur, Andhra Pradesh 515001",Anantapur,Government Laboratory
"Guntur Medical College, Guntur","Guntur Medical College, Guntur Kanna Vari Thota, Guntur, Andhra Pradesh 522004",Guntur,Government Laboratory
"Rajeev Gandhi Institute of Medical Sciences (RIMS), Kadappa","Rajiv Gandhi Institute of Medical Sciences, Kadapa Puttampalli, Andhra Pradesh 516002",Puttampalli,Government Laboratory
"Andhra Medical College, Vishakhapatnam","Andhra Medical College, Vishakhapatnam, Medical College Road, Opp Collector Office, Maharanipeta, King George Hospital Campus, Andhra Pradesh 530002",Vishakhapatnam,Government Laboratory
