Name,Address,Location,Type,,,
"Sonam Nurboo Memorial Hospital, Leh-Ladakh","Sonam Nurboo Memorial Hospital, Old Leh Rd, Leh-Ladakh, Ladakh 194101",Ladakh,Collection Site,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
