District,Zone
Jalandhar,Orange
Patiala,Orange
Ludhuiana,Orange
SAS Naagar,Orange
Pathankot,Orange
Mansa,Orange
Tarn Taran,Orange
Amritsar,Orange
Kapurthala,Orange
Hoshiarpur,Orange
Faridkot,Orange
Sangrur,Orange
Nawanshahr,Orange
Firozepur,Orange
Sri Muktsar Sahib,Orange
Moga,Orange
Gurdaspur,Orange
Barnala,Orange
Rupnagar,Green
Fatehgarh Sahib,Green
Bathinda,Green
Fazilka,Green
