District,Zone
Bhandipora,Red
Shopian,Red
Anantnag,Red
Srinagar,Red
Baramulla,Orange
Kupwara,Orange
Ganderbal,Orange
Jammu,Orange
Udhampur,Orange
Kulgram,Orange
Budgam,Orange
Samba,Orange
Kathua,Orange
Rajouri,Orange
Ramban,Orange
Reasi,Orange
Pulwama,Green
Kishtwar,Green
Doda,Green
Poonch,Green
