District,Zone
Ranchi,Red
Bokaro,Orange
Garhwa,Orange
Dhanbad,Orange
Deogarh,Orange
Hazaribagh,Orange
Simdega,Orange
Giridih,Orange
Koderma,Orange
Jamtara,Orange
Chatra,Green
Dumka,Green
East Singhbum,Green
Godda,Green
Gumia,Green
Latehar,Green
Lohardaga,Green
Pakur,Green
Palamu,Green
Sahebganj,Green
Sraikela Kharsawan,Green
West Sighbum,Green
Khunti,Green
Rangarh,Green
