District,Zone
Sonipat,Red
Faridabad,Red
Girigram,Orange
Nuh,Orange
Panipat,Orange
Panchkula,Orange
Palwal,Orange
Rohtak,Orange
Hisar,Orange
Ambala,Orange
Jhajjar,Orange
Bhiwani,Orange
Kaithal,Orange
Kurukshetra,Orange
Karnal,Orange
Jind,Orange
Sira,Orange
Yamunanagar,Orange
Fatehabad,Orange
ChakriDadri,Orange
Mahendragarh,Green
Rewari,Green
