District,Zone
East Khasi Hills,Orange
East Garo Hills,Green
West Jaintia Hills,Green
RiBhoi,Green
South Garo Hills,Green
West Garo Hills,Green
West Khasi Hills,Green
North Garo Hills,Green
East Jaintia Hills,Green
South West Khasi Hills,Green
South West Garo Hills,Green
