District,Zone
Haridwar,Red
Dehradunn,Orange
Nainital,Orange
Udam Singh Nagar,Green
Almora,Green
PauriGarhwal,Green
Bageshwar,Green
Chamoli,Green
Champawat,Green
Pithoragarh,Green
RudraPrayag,Green
Tehri Garhwal,Green
Uttar Kashi,Green
