District,Zone
Kurnool,Red
Guntur,Red
Krishna,Red
Chittor,Red
Spsr Nellore,Red
West Godavari,Orange
Y.S.R,Orange
Anantpur,Orange
Prakasam,Orange
East Godavari,Orange
Srikakulam,Orange
Visakhapatanam,Orange
Vizianagaram,Green
