District,Zone
Kannur,Red
Kottayam,Red
Kasargod,Orange
Idukki,Orange
Kozhikode,Orange
Kollam,Orange
Palakkad,Orange
Pathanamthitta,Orange
Malappuram,Orange
Thiruvananthpuram,Orange
Alappuzha,Orange
Thrissur,Orange
Ernakulam,Green
Wayanad,Green
