District,Zone
Una,Orange
Chamba,Orange
Hamirpur,Orange
Kangra,Orange
Sirmaur,Orange
Solan,Orange
Bilaspur,Green
Kinnaur,Green
Kullu,Green
Lahul And Spiti,Green
Mandi,Green
Shimla,Green
