District,Zone
Raipur,Red
Korba,Orange
Surajpur,Green
Bilaspur,Green
Durg,Green
Rajnandgaon,Green
Bastar,Green
Dantewada,Green
Dhamtari,Green
Janjgir-Champa,Green
Jashpur,Green
Kanker,Green
Kabirdham,Green
Korea,Green
Mahasamund,Green
Raigarh,Green
Surguja,Green
Bijapur,Green
Narayanpur,Green
Sukma,Green
Kondagaon,Green
Baloda Bazar,Green
Gariyaband,Green
Balod,Green
Mungeli,Green
Balrampur,Green
Bemetara,Green
