District,Zone
Imphal West,Green
Thoubal,Green
Bishnupur,Green
Chandel,Green
Churachandpur,Green
Imphal East,Green
Senapati,Green
Tamenglong,Green
Ukhrul,Green
Kakching,Green
Kandpokpi,Green
Jiribam,Green
Noney,Green
Pherzawl,Green
Tengnoupal,Green
Kamjong,Green
