District,Zone
Kolkata,Red
Howrah,Red
North 24 Parghana,Red
South 24 Parghana,Red
Mednipur West,Red
Mednipur East,Red
Darjeeling,Red
Jalpaiguri,Red
Kalimpong,Red
Maldah,Red
Hooghly,Orange
PaschimBardhaman,Orange
Nadia,Orange
PurbaBardhaman,Orange
Murshidabad,Orange
Uttar Dinajpur,Green
Bankura,Green
Coochbehar,Green
Dakshin Dinajpur,Green
Purulia,Green
Alipurduar,Green
Jhargram,Green
