District,Zone
Jajapur,Red
Bhadrak,Red
Baleshwar,Red
Khordha,Orange
Sundargarh,Orange
Kendrapara,Orange
Koraput,Orange
Dhenkanal,Orange
Kalahandi,Orange
Cuttak,Green
Puri,Green
Anugil,Green
Balangir,Green
Bargarh,Green
Boudh,Green
Deogarh,Green
Gajapati,Green
Ganjam,Green
Jagatsinghapur,Green
Jharsuguda,Green
Kandhamal,Green
Kendujhar,Green
Malkangiri,Green
Mayurbhanj,Green
Nabarangpur,Green
Nayagarh,Green
Naupada,Green
Rayagada,Green
Sambalpur,Green
Sonepur,Green
